,Category,Date_published,Description,Full_text,Headline,Provider,URL
0,Empty,2019-03-06T00:14:39Z,"Prime Minister Justin Trudeau of Canada is embroiled in a scandal involving accusations of back-room deal-making and bullying tactics, all to support a Canadian company accused of bribing the Libyan government.","Justin Trudeau came to office in 2015 by the high road, exuding charm, confidence, integrity and an openness to change. He filled his cabinet with women and minorities, opened Canada’s doors to immigrants and posed for endless selfies with adoring crowds. But in politics the fresher the face, the more obvious the blemishes.

With seven months to go before Canada’s next national election, the prime minister is embroiled in a political scandal that his charm cannot wipe away. Two members of his cabinet, both prominent women, have resigned, as has his closest adviser, and unless he can convince the public — and do so soon — that he really did nothing wrong in trying to head off the criminal prosecution of a big Montreal-based company, the damage will only get more serious.

The crisis unfolded after The Globe and Mail newspaper reported on Feb. 7 that Jody Wilson-Raybould, Mr. Trudeau’s former justice minister and attorney general, had come under improper pressure from the prime minister’s office to reach a negotiated settlement with a multinational engineering firm, SNC-Lavalin, instead of prosecuting it on criminal charges it faces over its business dealings in Libya. Conviction would bar it from government contracts for a decade.","Oh, Trudeau.",The New York Times,https://www.nytimes.com/2019/03/05/opinion/justin-trudeau-scandal.html
1,Empty,2019-02-26T15:17:00Z,"Singh eyes chance to ramp up pressure on Trudeau with byelection win CTV News Win, lose or draw? Byelection results suggest struggles ahead for major parties CBC.ca ANALYSIS: A bittersweet byelection night for Singh’s NDP and a warning for Scheer’s Conservati…","

Kristy Kirkup, The Canadian Press





OTTAWA -- Jagmeet Singh celebrated his byelection win the same way he rang in winning the NDP leadership race: on a dance floor.

""We danced the night away,"" Singh said Tuesday morning in an interview as his party breathed a collective sigh of relief following a win in the federal riding of Burnaby South.

Preliminary results from Elections Canada show he was able to clinch the riding with 39 per cent of the vote.

For Singh, the win means he can finally go toe-to-toe in the House of Commons with Prime Minister Justin Trudeau -- something he hasn't been able to do since taking over the reins of the NDP from Tom Mulcair in October 2017.

Singh is now calling on New Democrats to make the most of months leading up to the October election, knowing full well he has a limited amount of time to shine in the Commons with Parliament to rise in June.

The earliest Singh can take his new seat in the House of Commons will be March 18, but he will be in Ottawa Wednesday to lead the party's weekly caucus meeting on Parliament Hill.

""It allows me to ramp up the pressure on Mr. Trudeau, on the Liberal government and allows me to really put into focus the question 'Is this Liberal government more interested in helping their well-connected, powerful friends like SNC-Lavalin,"" he said.

There is no time for Singh to waste, said Mulcair's former principal secretary Karl Belanger, noting the election is just around the corner.

""Now (Singh) has an opportunity to be seen and heard on the same stage as the other main party leaders and it will be up to him to perform and do well and connect with Canadians with a narrative that speaks to their priorities.""

The Liberals and Conservatives were also celebrating byelection wins this week. Conservative Scot Davidson easily won in York-Simcoe in southern Ontario, replacing Peter Van Loan, who held the seat since 2004 before announcing his retirement.

Liberal Rachel Bendayan was the winner in the Montreal seat of Outremont, much to the delight of Liberal cabinet ministers who are declaring the NDP's ""orange wave"" in Quebec dead.

""It's finished,"" said Infrastructure Minister Francois-Philippe Champagne. ""Just look at the results.""

The early Elections Canada data suggests Bendayan won with 40 per cent of the vote followed by the NDP's candidate Julia Sanchez, who had 26 per cent of the vote. The Green party had a third place finish, the Bloc Quebecois were fourth and the Conservatives were fifth.

Outremont was the seat won by Mulcair in a 2007 byelection, a victory that helped the party build support in Quebec and led to the NDP's Quebec breakthrough during the 2011 election. The NDP formed official opposition for the first time that year before falling back to third-party status in 2015.

Singh said it was not a surprise that Outremont was a challenge but he disputed the idea that the orange wave has crested.

""The base that we built in Quebec is alive and well,"" he said, adding that he's planning a visit to the province next week.

Quebec MP Alexandre Boulerice said asserting the NDP is dead in Quebec is ""classic Liberal arrogance.""

He said the NDP is very proud of Singh's victory, noting he is the first racialized federal leader to sit in the House of Commons.

Quebec Conservative MP Gerard Deltell also insisted the NDP is not dead in his province while he stressed no one should be drawing conclusions based on byelection results.

Maxime Bernier, who left the Conservative fold to launch the People's Party of Canada last fall, tweeted on Tuesday to give his assessment of the byelection results, which was the first test for his fledgling political party.

He said he expected his party to fare better in the ridings of York-Simcoe and Outremont, where the candidates earned about two per cent of the vote but adding there were ""great results"" in Burnaby South with nearly 11 per cent of the vote.

The progress is ""overall encouraging"" after five months as a party, Bernier added.

With files from Danielle Edwards",Singh eyes chance to ramp up pressure on Trudeau with byelection win - CTV News,Ctvnews.ca,https://www.ctvnews.ca/politics/singh-eyes-chance-to-ramp-up-pressure-on-trudeau-with-byelection-win-1.4313090
2,Empty,2019-03-01T15:19:33Z,Canada's Prime Minister Justin Trudeau looks vulnerable after his former attorney general alleged that he interfered in the justice system.,"Justin Trudeau’s ship may be sinking, but he’s not changing course.

The Canadian prime minister plowed ahead Thursday after his former attorney general alleged, in explosive testimony aired on national television, that he interfered in the justice system by pressing to end a criminal case against an iconic Quebec construction firm. Speaking to reporters in Montreal, Trudeau insisted again his government had every right to consider the job losses that could result from a guilty verdict for SNC-Lavalin Group Inc.

The scandal has suddenly made Trudeau vulnerable, consuming his Liberals in the run-up to an election in which he’d have otherwise have been the frontrunner. He’s lost his polling lead for the first time since June, and the controversy has undermined his personal brand as a progressive leader who singlehandedly returned his moribund party to power in 2015 on a pledge of change.

“It’s very damaging and it’s very serious,” said Penny Collenette, a University of Ottawa professor who served as director of appointments under a former Liberal prime minister. Every politician wants to protect jobs, she said. “But I think the question that needs to be asked here is: at what cost?”

The Brief Newsletter Sign up to receive the top stories you need to know right now. View Sample Sign Up Now

Trudeau’s fate depends on several factors — including whether cabinet stands by him and the Liberals stay united. Only a handful of lawmakers have voiced any measure of support for Jody Wilson-Raybould, who quit cabinet last month but remains a Liberal member of parliament. The prime minister hasn’t decided yet whether to force her out of the party’s caucus.

Divided They Fall

Any divisions within his government on the matter could be fatal for efforts to convince voters the Liberals have done nothing wrong, said Nik Nanos, a pollster with Nanos Research Group. Trudeau, at the center of the crisis and with his own popularity waning, will also need a more team-oriented campaign in the next election to win voters who may blame him for the current crisis.

“If a narrative emerges that the caucus is divided on this, that will be lethal for Justin Trudeau,” Nanos said in a telephone interview. “I can’t remember any party leader winning an election with his caucus divided. If the caucus can’t even agree, how is it that they can govern?”

The latest polls already show the Liberals have lost their lead in voting intentions. An aggregate of public opinion surveys maintained by the Canadian Broadcasting Corp. shows Trudeau’s team with 33.9 percent of the vote, below the Conservatives with 35.8 percent.

What’s hurting the prime minister is the extraordinary spectacle of a former high-ranking member of his government now emerging as its most powerful critic — and his rivals smell blood. Conservative Leader Andrew Scheer called for Trudeau’s resignation and wrote the Royal Canadian Mounted Police seeking an investigation. The police force hasn’t said whether or not it will look into the matter. New Democratic Party Leader Jagmeet Singh is demanding a public inquiry.

Among those Wilson-Raybould accused of improper pressure is Bill Morneau, who she said she spoke to in the House of Commons. The finance minister said Thursday it was Wilson-Raybould who approached him, and defended the actions of his chief of staff, Ben Chin, in stressing the magnitude of potential job losses at the company.

“My role is, and continues to be, to think about how protect Canadian jobs,” Morneau told reporters in Toronto. “I will continue do that. I think that’s critically important for us to understand in every decision we take as a government.”

Wilson-Raybould also took aim at Gerald Butts, Trudeau’s former principal secretary, who on Thursday asked to be allowed to speak to a committee of lawmakers to tell his version of events. The former attorney general — whose absence from cabinet will be filled in a shuffle Friday, according to CBC — may also end up testifying again.

United So Far

But no current minister has broken ranks. Foreign Minister Chrystia Freeland told the CBC she couldn’t imagine Trudeau applying inappropriate pressure, and signaled frustration that Wilson-Raybould was now taking aim at cabinet. “At the end of the day, when you leave the room, you have to play as a united team,” Freeland said.

Infrastructure Minister Francois-Philippe Champagne said he believes Trudeau was within the “box of what’s legal” with his actions, and that no one should jump to conclusions. “We should take the time to listen to the other witnesses.” Champagne and another minister, border security chief Bill Blair, each brushed aside a question on whether Trudeau should replace key staff. “I remain very confident in the work of this government,” Blair said.

Parliament adjourns on Friday for a two-week break, due to return in time for Morneau’s March 19 budget. The path of the scandal could also depend on what Liberal lawmakers hear while away from Ottawa, in their home districts scattered across Canada.

“They’re going to get earfuls,” Collenette said. “If the truth is really two perceptions, then voters will make up their minds. But they need facts.”

Contact us at editors@time.com.",Justin Trudeau Is Suddenly Looking Vulnerable in Canadian Elections After Bombshell Accusation,Time,http://time.com/5541845/justin-trudeau-elections-accusations/
3,Empty,2019-03-05T07:45:42Z,Treasury Board President Jane Philpott announced her resignation amid a corruption scandal involving Quebec-based firm SNC-Lavalin,"A second minister from Justin Trudeau’s administration has resigned in the wake of an unfolding corruption scandal, dealing additional damage to the Canadian prime minister’s already slipping popularity.

Treasury Board President Jane Philpott announced her resignation on Monday, writing in a statement that she has been “considering the events that have shaken the federal government in recent weeks” and has made the decision to quit “after serious reflection.”

Trudeau’s government has been swept up in controversy since his former attorney general, Jody Wilson-Raybould, accused the administration of trying to stop a criminal case against Quebec-based firm SNC-Lavalin, one of the world’s largest engineering and construction companies.

The firm is facing corruption charges for allegedly paying C$48m (US$36m) worth of bribes in Libya in order to secure lucrative contracts, according to the BBC.

The Brief Newsletter Sign up to receive the top stories you need to know right now. View Sample Sign Up Now

Trudeau and top aides have been accused of pursuing a months-long campaign to silence the trial. Trudeau has maintained that his government acted in the interest of preventing job losses that could result from a guilty verdict for SNC-Lavalin.

The firm employs close to 9,000 employees across Canada, according to SNC-Lavlin’s website.

In her statement, Philpott said efforts to “pressure the former Attorney General to intervene” in the case raised “serious concerns” for her.

Philpott previously served as Canada’s Minister of Health, Minister of Indigenous Services, President of the Treasury Board and Minister of Digital Government.

“It grieves me to leave a portfolio where I was at work to deliver on an important mandate,” Philpott wrote. “But I must abide by my core values, my ethical responsibilities and constitutional obligations.”

According to a February poll conducted by Canadian analytics company Leger, 36% of respondents indicated they were “very satisfied” or “somewhat satisfied” with the government led by Trudeau, down from 45% in November 2018.

Canada will head to general elections in October.

Write to Hillary Leung at hillary.leung@time.com.",Justin Trudeau’s Troubles Deepen as Second Canadian Minister Resigns,Time,http://time.com/5543588/canada-justin-trudeau-jane-philpott-resigns/
4,Empty,2019-03-05T15:14:00Z,"Google will ban all political ads in Canada ahead of the country's federal election this year, the company told The Globe and Mail. Back in December, the Canadian government passed a bill that would require online platforms to keep a record of all th...","The tech giant argued that keeping track of which ads get displayed would require significant alterations to its system, seeing as it employs a real-time bidding process. Technically, web pages auction off ad spaces through its platform, and the winning bid shows up automatically. The whole process takes a fraction of a second. Google has decided that changing all that to make sure it can comply with the law's requirements would be too much work. Colin McKay, the head of public policy and government relations at Google Canada, told the publication that the best way to make sure the company doesn't run afoul of the new rules is to stop accepting political ads altogether.

That the law requires platforms to keep track of not just political ads -- those that feature specific candidates or parties -- but also ads of a partisan nature -- those that don't mention names -- further complicates things. ""The challenge for us is that that definition (of partisan) is extremely broad,"" McKay added. Google maintains an archive of election ads in the US, but the registry only contains advertisements that feature candidates and current officeholders. It doesn't include partisan or issue ads meant to sway people's opinions.

Canadian officials passed the bill late last year in an effort to deter foreign players from meddling with the 2019 federal elections. Google had implemented changes and new features in the US meant to accomplish the same thing, but it looks like Canada's new rules are just a bit too troublesome for the tech giant. Canada's advertising transparency requirements will take effect on June 30th or earlier, so the company will likely modify its system to block political and partisan ads very soon, if it hasn't yet.",Google Canada will ban political ads before this year's elections,Engadget,https://www.engadget.com/2019/03/05/google-canada-ban-political-ads/
5,Empty,2019-02-26T17:58:53Z,May leaves opening for Brexit delay if parliament unable to reach deal The Globe and Mail British Prime Minister Theresa May has sown more confusion into the Brexit process by opening the door to delaying Britain's departure from the European... View full cov…,"British Prime Minister Theresa May has sown more confusion into the Brexit process by opening the door to delaying Britain’s departure from the European Union without saying how long the extension might last.

On Tuesday, Ms. May said members of Parliament would be able to vote to extend the March 29 deadline for the United Kingdom to leave the EU if she is unable to win parliamentary support for a Brexit deal with the bloc.

Ms. May has been scrambling for weeks to salvage a withdrawal agreement she struck with the EU that has met fierce opposition from within her Conservative Party caucus. On Tuesday, she told the House of Commons that she believed a final deal was still possible before March 29, but she acknowledged that many MPs have become “genuinely worried that time is running out” and that businesses are growing uneasy about the prospect of a no-deal Brexit. The EU would have to consent to an extension and Ms. May refused to say how long it might last, indicating only that she’d like any delay to be “as short as possible”.

Story continues below advertisement

The announcement was a reversal for the Prime Minister who had spent months insisting that she would not delay Brexit. That stance had rattled many business leaders who feared the U.K. would crash out of the EU without any arrangements for trade, banking, transportation and many other issues. A government report released after Ms. May spoke confirmed many of those fears by pointing out how unprepared the country was for a no-deal Brexit.

According to the report, only 40,000 of 240,000 businesses have signed up for a special customs number they will need in order to trade with the EU after Brexit. The report also said that a majority of people have no idea they will face new EU customs and immigration controls after Brexit or that they will require an International Driving Permit to drive in the EU. Food imports from the EU could be disrupted, the report noted, and there will be widespread problems for financial service companies, law firms, chemical manufacturers, car makers and transport companies. The government also hasn’t come close to converting 40 EU trade deals into U.K. agreements. Ministers had hoped to have all 40 deals in place by the Brexit deadline, but so far just six have been signed and they don’t include large trading partners such as Canada, Japan or South Korea.

Ms. May has been under increasing pressure to rule out a no-deal Brexit and extend the March 29 deadline. On Tuesday, three junior cabinet ministers said they would resign unless Ms. May rejected leaving without a deal and up to a dozen senior ministers are believed to have also threatened to quit. Ms. May finally bowed to the pressure and agreed to allow MPs to vote on an extension. However, she faced criticism from Labour leader Jeremy Corbyn who said Ms. May had been ""grotesquely reckless” in her Brexit strategy and was just trying to “run down the clock.”

In her revised timetable, Ms. May is due to present a new Brexit deal to parliament on March 12 and, if it’s rejected, MPs will vote over the next two days on whether to leave the EU without a deal or move to extend the deadline. “Let me be clear, I do not want to see [the deadline] extended,” she told MPs. “Our absolute focus should be on working to get a deal and leaving on 29 March.”

EU officials have indicated that any delay beyond the end of June would be difficult because of elections to the European parliament. Those elections are in May and the new parliament convenes on July 2. The U.K. isn’t participating in the elections because the country is supposed to be out of the EU as of March 29. Any extension of that deadline beyond the end of June would mean the U.K. would have to field candidates for the European parliament. “What kind of message would that send to the more than 17 million people who voted to leave the EU nearly three years ago now?” Ms. May asked MPs on Tuesday.

It’s also not clear if an extension will make it any easier for Ms. May to get her Brexit deal approved by parliament. The main sticking point remains the so-called backstop, a provision in the withdrawal agreement that guarantees no hard border between Northern Ireland, which is part of the U.K., and the Republic of Ireland by ensuring that Northern Ireland remains linked to the EU’s regulations. Many Tory MPs say the backstop will keep the U.K. tied to the EU indefinitely and they wanted it removed or restricted with a time limit. The EU has refused to make any changes to the agreement, arguing the backstop protects assurances made in the 1998 Good Friday Agreement that ended decades of sectarian violence and eliminated border controls.",May leaves opening for Brexit delay if parliament unable to reach deal - The Globe and Mail,The Globe And Mail,https://www.theglobeandmail.com/world/article-may-leaves-opening-for-brexit-delay-if-parliament-unable-to-reach-deal/
6,Empty,2019-02-28T10:17:15Z,"Are we nearing a deal to end the U.S.-China trade war? President Trump seems to think so. “We’re getting very, very close,” he told a group of governors visiting the White House in February. Citing “substantial progress” in recent negotiations, Trump postpone…","Are we nearing a deal to end the U.S.-China trade war? President Trump seems to think so. “We’re getting very, very close,” he told a group of governors visiting the White House in February.

Citing “substantial progress” in recent negotiations, Trump postponed a March 1 deadline that would have sharply increased the rate of tariffs on $200 billion in Chinese goods. Trump said he hoped a meeting with China’s President Xi Jinping, most likely in late March at Mar-a-Lago, would become a “signing summit.”

Trump’s lunge for a deal may be driven in part by the fast-advancing U.S. electoral calendar. As Democrats begin lining up to run against him next year, the President may be hoping to avoid the stock-market gyrations and economic pain an escalating trade war might soon begin to inflict.

He could surely use what he sees as a big political win on China at a time when multiple investigations, increasingly aggressive Democratic lawmakers, his failure to build a border wall and embarrassing public testimony from his former personal lawyer Michael Cohen are all clouding his political horizons.

The Brief Newsletter Sign up to receive the top stories you need to know right now. View Sample Sign Up Now

But as with his would-be reset with Russia, Trump can’t change the structural game with China with a single agreement. Although Trump entered office predicting he would improve relations with Moscow, lawmakers of both parties continue to accuse Russia of interference in U.S. elections and various other crimes. Sanctions remain in place and may well expand. Neither Trump’s praise nor congressional punishment has persuaded Russia to change course.

The same goes for China. Trump will doubtless win some concessions from Xi, perhaps expanded access for U.S. companies to the Chinese marketplace, agreements on currency management, more Chinese purchases of American soybeans and promises in principle to address other U.S. demands.

What Trump cannot do is persuade Xi to overhaul China’s broader economic model. The Chinese state will continue to subsidize state-owned companies and privately owned national champions, tilting the global playing field in its favor. It will push forward, by any means necessary, on expanding technological innovation to compete with U.S. and European firms in the most important economic sectors of the 21st century–AI, fintech and consumer electronics, for example. On these subjects, whatever Xi promises Trump or Chinese officials say publicly, they will not compromise.

There are also limits to what Trump can offer to get that deal with Xi. If he signs off on an agreement that removes pressure on Chinese telecom giants Huawei and ZTE, each suspected of undermining U.S. national security, he’ll get pushback from Congress. If he tries to use Meng Wanzhou–the Huawei executive arrested in Canada for allegedly violating U.S. sanctions on Iran–as a bargaining chip, he’ll face criticism that he’s meddling in a law-enforcement matter and exceeding his authority.

Even if Trump and Xi cheer markets in March with a broad Mar-a-Lago agreement over coffee and chocolate cake, the damage to relations between the superpower and the rising challenger has already been done. Trust between them now stands at its lowest point in 30 years, and each government will continue a long-term project of making its side less vulnerable to pressure from the other.

In short, the U.S.-China relationship is fundamentally broken, and no politically inspired, vaguely worded compromise will change that.

Contact us at editors@time.com.

This appears in the March 11, 2019 issue of TIME.","Deal or no Deal, the U.S.-China Relationship Is Beyond Repair",Time,http://time.com/5540855/us-china-trade-relationship/
7,Empty,2019-02-25T03:11:15Z,"Stakes high for NDP Leader Jagmeet Singh as he vies for seat in Burnaby South by-election The Globe and Mail For the NDP, the stakes in Monday's byelections are sky-high CBC News Burnaby South byelection 2019 cheat sheet: A last-minute voter's guide Global Ne…","Open this photo in gallery NDP Leader Jagmeet Singh smiles after casting his ballot for the federal by-election in Burnaby South at an advance poll on Feb. 15, 2019. DARRYL DYCK/The Canadian Press

Jagmeet Singh faces the biggest test of his NDP leadership in a by-election on Monday as he vies for a seat in the House of Commons.

The Burnaby South vote in the Vancouver region is one of three by-elections taking place on Monday, with others north of Toronto and in Montreal. The votes come just six months before campaigning is likely to officially begin for the general federal election.

Much is at stake for Mr. Singh, who was elected leader of the NDP in the fall of 2017 on a decisive first-ballot victory. Previous NDP leader Tom Mulcair said in January that it would be difficult for Mr. Singh to stay on as leader if he loses Burnaby South. Mr. Singh at the time insisted he would lead the NDP this fall regardless of the by-election result. The 40-year-old has struggled at times as party leader: He has been criticized for low poll numbers and poor fundraising.

Story continues below advertisement

Brad Lavigne, who helped orchestrate Jack Layton’s orange wave in 2011 as NDP campaign chief, said on Sunday that a victory in the by-election would be essential to unite the NDP.

Mr. Lavigne said Mr. Singh has poured considerable personal energy into the riding, through extensive door-knocking and meetings with constituents. The riding has voted NDP in the past on a federal and provincial level. The B.C. NDP dominated Burnaby when John Horgan was elected in 2017, and on Saturday the Premier on Twitter called on voters to get to the polls to back Mr. Singh.

The Burnaby South contest has been turbulent. The Liberals’ first candidate, Karen Wang, stepped down after a social media post on the social messaging app WeChat that zeroed in on Mr. Singh’s ethnicity and highlighted that she was only candidate of Chinese ethnicity. A recent all-candidates’ debate became heated on issues of race and immigration.

Open this photo in gallery Mr. Singh, centre, campaigns for the by-election in the food court at an Asian mall in Burnaby, B.C., on Feb. 24, 2019. DARRYL DYCK/The Canadian Press

Richard T. Lee is the new Liberal candidate. Jay Shin is running for the Conservatives. Laura-Lynn Tyler Thompson represents the upstart People’s Party of Canada. The Greens chose not to run a candidate against Mr. Singh.

Meanwhile, Prime Minister Justin Trudeau faced criticism last fall for delaying a by-election call after the NDP’s Kennedy Stewart vacated the Burnaby South seat in September to become the mayor of Vancouver.

Mr. Singh said voters are “very disappointed” in Mr. Trudeau’s Liberal government.

“It looks more and more like this government and Mr. Trudeau and the Liberal party are working in the interest of a massive multinational corporation,” said Mr. Singh, referring to the SNC-Lavalin affair.

Story continues below advertisement

Political scientist Richard Johnston at the University of British Columbia said the SNC-Lavalin case could be a “gift” for Mr. Singh, because it could turn some potential Liberal voters to the NDP.

David Moscrop, a political scientist at the University of Ottawa, said it is unclear whether Mr. Singh should stay on as leader of the NDP if he lost.

“There’s this assumption that if he lost the by-election, he couldn’t show his face in the general election. I don’t think Canadians would really care,” Mr. Moscrop said. “The NDP caucus might see things differently.”

In 2015, the NDP barely won Burnaby South, as the Liberals had a strong showing in the province when Mr. Trudeau swept to power. Mr. Stewart, who had won a close race in Burnaby-Douglas in 2011, won 35.1 per cent of the vote in Burnaby South, ahead of the Liberals’ 33.9 per cent. The margin was 547 votes. The Conservatives had 27.1 per cent of the vote.

The Burnaby-South riding is an amalgam of two older ridings, the southern half of Burnaby-Douglas – where the NDP had a long, but narrow, hold on power federally – and the western half of Burnaby-New Westminster – where the NDP had a long, and mostly dominant, hold on power federally.

Open this photo in gallery Mr. Singh gestures while campaigning for the by-election with his wife Gurkiran Kaur Sidhu, in Burnaby, B.C., on Feb. 24, 2019. DARRYL DYCK/The Canadian Press

With files from Canadian Press",Stakes high for NDP Leader Jagmeet Singh as he vies for seat in Burnaby South by-election - The Globe and Mail,The Globe And Mail,https://www.theglobeandmail.com/politics/article-stakes-high-for-ndp-leader-jagmeet-singh-as-he-vies-for-seat-in/
8,Empty,2019-03-02T01:18:45Z,NDP MP Nathan Cullen won't seek re-election this fall The Globe and Mail NDP MP Nathan Cullen isn't running again CBC News NDP MP Nathan Cullen won't be seeking re-election CTV News NDP MP Nathan Cullen not running in the 2019 federal election Global News Nat…,"Open this photo in gallery NDP MP Nathan Cullen rises in the House of Commons in Ottawa on Oct. 25, 2017. Adrian Wyld/The Canadian Press

Veteran NDP MP Nathan Cullen, one of the highest-profile members of the party’s national caucus, announced Friday his exit from federal politics – the latest in a series of New Democrats to rule out seeking re-election in October.

The British Columbia member, who will have served 15 years by the time he departs this fall, played down any suggestion that his decision not to seek re-election is a blow to the party.

Thirteen members of the caucus, which now has 41 MPs, have said they will not seek re-election, raising questions about party leader Jagmeet Singh’s management of the New Democrats, who are facing challenges in such areas as the polls, fundraising and policy.

Story continues below advertisement

Mr. Cullen, 47, is the second NDP MP from British Columbia to announce his departure this week, following Victoria-area MP Murray Rankin. Earlier on this term, Burnaby-South MP Kennedy Stewart left to run for and win the office of Vancouver mayor and Nanaimo-area MP Sheila Malcolmson was elected an NDP member of the provincial legislature.

But the MP for Skeena-Bulkley Valley said that after 15 years, five elections, a leadership bid in 2011-12 and with two 8½-year-old twin boys appealing for his attention, it was time to leave.

Mr. Cullen has no specific professional plans. Asked whether he would be interested in provincial politics, he said, “I am not ruling it out, but I don’t have that as my plan right now.” The provincial New Democrats govern B.C. under Premier John Horgan.

“When my family and I have been talking, it was just to decide whether we wanted to be in federal politics after October. Yes or no, not conditional on some other opportunity or offer. It was just, ‘Let’s just be clear and clean on this,’ not have something else waiting in the wings.”

Mr. Cullen placed third behind Thomas Mulcair and Brian Topp in the 2012 leadership vote. His roles in Parliament included House leader for the Official Opposition and Opposition finance critic. Following the 2015 election, he was environment critic as well as critic for democratic reform.

He said no one, himself included, is irreplaceable. “I’ve seen irreplaceable people leave, and then they get replaced,” said Mr. Cullen, adding that since he has been musing about his future, prospective NDP candidates have been in touch about vying to represent the party in his riding.

Mr. Cullen said New Democrats have had a good week with Mr. Singh winning a by-election in Burnaby-South and finally gaining a seat in the House of Commons. Mr. Cullen has been supportive of Mr. Singh, who succeeded Thomas Mulcair in 2017. “He is humble enough to know that he has got work to do,” he said.

Story continues below advertisement

He said the shine is off the federal Liberals under Prime Minister Justin Trudeau given the scandal surrounding the government’s handling of the SNC-Lavalin affair. And he said questions around the issue may even give the party traction in Quebec, the site of the party’s Orange Wave in 2011.

“Context is everything. I don’t want to harp too much on Mr. Trudeau’s troubles, but a sponsorship-like corruption scandal hits a note different in Quebec than in other parts of the country because they have seen this movie before,” he said.

To get ahead, he said the NDP will have to be authentic and “unapologetically progressive” as well as make a blunt appeal to govern Canada.

“The old NDP was about being the conscience of the Parliament, and not happy to lose, but comfortable with the idea of being third,” he said.

He said his biggest takeaway from the 2015 election was that voters were not terrified of an NDP government though they decided otherwise. “Our offer should be to be government, and be unapologetic about it.”

Mr. Cullen said he will inevitably settle in B.C. “Ottawa is fine, but it’s better here,” he said from his riding.",NDP MP Nathan Cullen won't seek re-election this fall - The Globe and Mail,The Globe And Mail,https://www.theglobeandmail.com/canada/british-columbia/article-ndp-mp-nathan-cullen-wont-seek-re-election-this-fall/
9,Empty,2019-02-25T05:15:18Z,Germany's Alternative For Germany (AfD) party ( previously ) are an insurgent neofascist movement with ties to senior mainstream politicians and the country's super-wealthy would-be oligarchs; the party put on a hard push in the the 2018 Bavarian elections an…,"German neofascists used Qanon to expand their reach

Germany's Alternative For Germany (AfD) party (previously) are an insurgent neofascist movement with ties to senior mainstream politicians and the country's super-wealthy would-be oligarchs; the party put on a hard push in the the 2018 Bavarian elections and their meme warfare was full of familiar voter-suppression tactics, from garden-variety disinformation to exhortations to stay home on election day.

Also prominent in the group's messaging: hashtags and tropes from the US far-right conspiracy theory Qanon (previously), an incoherent toxic stew of antisemitism, murder accusations, numerology, Islamophobia, and other pathologies of the moment.

The connection between Qanon and AfD comes from an unreleased report from the London School of Economics-affiliated Institute for Strategic Dialogue, which bills itself as an ""anti-extremist think tank""; some details of the study have been reported in the German and US press.

The researchers traced the inclusion of Qanon-affiliated hashtags in AfD social media, including German translations and adaptations of popular Qanon tags (e.g. #linksliegenlassen, #MerkelMussWeg); as with the US-based Qanon activists, the German Qanon phenomenon was driven by small numbers of incredibly prolific social media users -- not bots (Erin Gallagher's research found that Qanon tweeters posting 500+ messages/day were often ""older retired people with a lot of free time"").

There's evidence that US-based Qanon activists forged alliances with German neofascists; some popular fascist hashtags (""#ChemnitzIstDerAnfang"") originated with US Qanon accounts.

Qanon is becoming a kind of ideological signifier among far-right groups: members of the far-right who have adopted the yellow vest for street demonstrations in Canada and the UK have been spotted decorating the vests with Qanon memes and carrying Qanon-boosting signs. Qanon networks have also been used to boost the virality of racist videos.

I think far-right extremism is the intersection of garden-variety bigotry/xenophobia with economic precarity and a breakdown of the epistemological consensus about what constitutes a reliable indicator that something is true.

Xenophobia and bigotry are always around, but they surge when people feel afraid for their overall economic circumstances, and that surge has been supercharged by decades of both scientific denialism (well-funded campaigns to sow doubt about the motives of climate scientists, doctors who warn of the link between smoking and cancer, etc) and corruption -- for example, anti-vax builds on the assertion that experts have corrupt motives and that regulators are so captured that they let them get away with murder. The thing is, regulators really are that captured.

I can't say for sure that a more equitable economic system -- which would cut off the resources used by corporate influences to distort policy, and by ideological entrepreneurs to push expensive, profitable scientific denial -- would neutralize the far-right, but I think it's worth a try.

The crossover between QAnon and far-right German movements like the Chemnitz riots makes sense. Both movements are aggressively anti-Muslim and anti-refugee. And both make vague gestures toward a right-wing revolution. “At the time I got the impression that some people thought Chemnitz was going to be ‘Germany's great awakening,’” Gallagher said, referencing QAnon’s promise of a “great awakening” in America. It’s a trend she’s previously observed, as America’s alt-right moved on to trolling on behalf of their counterparts in Europe after Trump’s victory in 2016. “I've noticed crossover of US alt-right networks with European alt-right for a long time,” she said. “How QAnon fits into all that is a great question, but the international alt-right coordinated swarms—QAnon related or not—do not surprise me.”

How Fringe Groups Are Using QAnon to Amplify Their Wild Messages [Kelly Weill/Daily Beast]",German neofascists used Qanon to expand their reach,Boingboing.net,https://boingboing.net/2019/02/24/afd-and-qanon.html
