,Category,Date_published,Description,Full_text,Headline,Provider,URL
0,World,2019-02-28T20:26:00.0000000Z,"Neither Canada’s feminist-ally prime minister nor Ontario’s feminist ... But if we want the lives of women and girls to be a priority in this election, then we have to take those numbers and get loud. And to do that we have to work together.","A woman was murdered every 2.5 days last year in Canada.

This is just one of the many startling statistics contained in the first report issued by the Canadian Femicide Observatory for Justice and Accountability, an organization that was established in 2017 as a response to a call from the United Nations to monitor femicide rates around the world. The goal of this yearly report is to draw attention to the unique circumstances surrounding femicide in the hopes of preventing further violence.

But while the report received some attention when it was released in late January, it doesn’t appear to have riled up a single politician—which is alarming when you consider that all the major federal parties are gearing up for the fall election. Candidates of all stripes are hosting town halls, shaking hands, kissing babies and duking it out over SNC-Lavalin, international relations and border security. But no one seems particularly concerned that 148 women and girls were killed last year or that half of the women were murdered in their home by someone who claimed to love them or that the youngest victim was three weeks old. Not a single candidate has made femicide a talking point on the campaign trail.

As a longtime advocate for women and girls, and as a survivor of intimate partner violence and stalking, I’m outraged. What will it take for politicians to care about the lives of women and girls? During the 10 years that Stephen Harper was prime minister, funding for research on women’s lives ground to a halt. Cuts to Status of Women Canada’s budget along with his cancellation of the long-form census meant it became impossible to measure women’s experiences in the home, workplace and at school. It also meant we had no real sense of how many women were experiencing violence. Trudeau’s election and his commitment to feminism was a moment of exhilaration for advocates—it felt as though change was coming.



And in many ways, they have. Gender-Based Analysis was applied to the federal budget, Status of Women got a profile boost and a strong message was sent across the land that “Feminism is cool.” But the violence continued. At the height of the #MeToo moment, three years into Trudeau’s term, an act of misogynist terrorism unfolded on a sunny afternoon in Canada’s largest city when a man drove a van through the streets of Toronto, mowing down eight women and two men. There were hot takes and head shakes, but no concrete policy changes. Neither Canada’s feminist-ally prime minister nor Ontario’s feminist premier Kathleen Wynne called out the blatant misogyny of the act.

When the CFOAJ report launched last month, I was hopeful that hard data would make a difference. For years, we had been relying on patchwork statistical evidence and the qualitative stories of advocates to paint a picture of femicide in Canada. We finally have a better sense of what is happening across this country.

But if we want the lives of women and girls to be a priority in this election, then we have to take those numbers and get loud. And to do that we have to work together. When a candidate comes knocking at your door or when you find yourself at an election debate, here are some hard-ball questions you can throw their way:

How are you going to address violence against Indigenous women and girls?

Indigenous women make up only 5 percent of the Canadian population, but they were 36 percent of the women and girls killed last year. Does your candidate have a position on the Inquiry into Missing and Murdered Indigenous Women? Do they know that provinces, such as Ontario, are clawing back Indigenous education in schools and denying our youth the truth about colonization? Ask them how they plan to make Canada safer for Indigenous women and girls.

What’s your strategy for addressing the high rates of violence against rural women and girls?

Only 16 percent of Canadians live in a rural area, but 34 percent of the women killed last year lived rurally. Women in the north are particularly at risk, with the highest femicide rate in Nunavut and the Yukon. A triple femicide in Wilno, Ontario in the fall of 2015 highlighted the isolation and lack of support for rural women trying to flee violence.

My colleagues and I are re-thinking how funding should be allocated. Currently, funding for services like shelters and sexual assault centres happens per capita. Yes, there are technically fewer clients in a rural community but the lack of public transportation, patchy cellphone reception and the overall isolation means the cost per client is actually higher than urban areas. Ask your candidate if they’re thinking about the rural reality and if rural survivors are on their radar.

How are you going to make Canada safer for young women and girls?

Across all races and regions, young women are especially vulnerable to violence, with a quarter of femicide victims last year being women aged 25 to 34. We also know that women under 25 have the highest rates of sexual assault in Canada. Ask your candidates where they stand on mandatory consent education in schools, the creation of a national youth mental health strategy and funding for trauma-informed youth services.

The vulnerability of young women was recently made tragically clear with the Amber Alert across Ontario searching for Riya Rajkumar. She was a smart, vibrant girl who was killed on her 11th birthday. Her father was charged with first degree murder and died a few days later in hospital from a self-inflicted gunshot wound.

We’re mere weeks into a new year and there have been at least four femicides across Canada already. It’s time for us to demand that the lives of women and girls in Canada be prioritized.",The Election Issue That Isn’t Even On Politicians’ Radar,Chatelaine,https://www.chatelaine.com/opinion/femicide-the-election-issue-that-isnt-even-on-politicians-radar/
1,Politics,2019-02-28T22:45:00.0000000Z,She cited four occasions on which Prime Minister Justin Trudeau or senior aides—even Canada’s top civil servant—brought up a forthcoming election (Quebec’s or their own) during a discussion of a potential deferred prosecution agreement for SNC ...,"Jody Wilson-Raybould lifted a veil on the unseemly (and blatant) intersection between government decision-making and electoral calculus in the former justice minister and attorney general’s testimony to the House of Commons justice committee. She cited four occasions on which Prime Minister Justin Trudeau or senior aides—even Canada’s top civil servant—brought up a forthcoming election (Quebec’s or their own) during a discussion of a potential deferred prosecution agreement for SNC-Lavalin, which Wilson-Raybould did not support.

From her explosive half-hour opening statement:

Sept. 6, 2018: Ben Chin, chief of staff to Finance Minister Bill Morneau, to Jessica Prince, Wilson-Raybould’s chief of staff

He wanted to talk about SNC and what we could do, if anything, to address this. He said to her that if they don’t get a DPA, they will leave Montreal, and it’s the Quebec election right now, so we can’t have that happen. He said that they have a big meeting coming up on Tuesday and that this bad news may go public.

Sept. 16: Mathieu Bouchard and Elder Marques, senior advisors to the Prime Minister, to Jessica Prince

They said that they think we should be able to find a more reasonable resolution here. They told her that SNC’s next board meeting is on Thursday (Sept 20). They also mention the Quebec election context.

Sept. 17: Prime Minister Justin Trudeau and Clerk of the Privy Council Michael Wernick, to Wilson-Raybould

The PM again cited potential loss of jobs and SNC moving. Then to my surprise—the Clerk started to make the case for the need to have a DPA—he said ‘there is a board meeting on Thursday (Sept 20) with stock holders’ … ‘they will likely be moving to London if this happens’… ‘and there is an election in Quebec soon’…

At that point the PM jumped in stressing that there is an election in Quebec and that ‘and I am an MP in Quebec—the member for Papineau.’

I was quite taken aback. My response—and I remember this vividly—was to ask the PM a direct question while looking him in the eye—I asked: ‘Are you politically interfering with my role / my decision as the AG? I would strongly advise against it.’ The Prime Minister said, ‘No, no, no—we just need to find a solution.’

Oct. 26: Mathieu Bouchard to Jessica Prince

My COS (chief of staff) said that this would obviously be perceived as interference and her boss questioning the DPP’s decision. Mathieu said that if—six months from the election—SNC announces they are moving their headquarters out of Canada, that is bad. He said “we can have the best policy in the world, but we need to be re-elected.

MORE ABOUT JODY WILSON-RAYBOULD:",Trudeau and senior Liberals kept linking SNC-Lavalin prosecution to elections,Macleans.ca,https://www.macleans.ca/politics/ottawa/trudeau-and-senior-liberals-kept-linking-snc-lavalin-prosecution-to-elections/
2,World,2019-02-28T22:11:00.0000000Z,"Election observers reported finding no major irregularities ... a Seck supporter who is applying to graduate school in Canada after trying to find a job for six months. ""I don't hate Macky Sall, but I can't love him."" Senegal has long been a democratic ...","DAKAR, Senegal — Senegalese President Macky Sall easily won re-election to a second term during a first round of voting, election officials announced Thursday. His opponents issued a joint statement saying they would not challenge the results.

The statement from the four opposition candidates ended days of political uncertainty in Senegal, a democracy long known for peaceful transfers of power.

article continues below

After the prime minister told ruling party supporters that unofficial results showed Sall winning 57 per cent of Sunday's vote, top opponents dismissed the claim and told supporters to prepare for a runoff election.

Election observers reported finding no major irregularities during the presidential vote. In their joint statement, the opposition candidates said they still rejected the election's outcome, but added, ""We will not be taking any recourse at the constitutional council.""

The tally was announced on live TV and radio, a rarity in a part of the world where postelection violence is common in many countries. There were scattered reports of protests, including by university students in Dakar.

Police said some protesters hit a gas station in Thies, and officers intervened. But no as before police put down the unrest. But there were no large demonstrations after Sall was declared the election's winner.

""President Macky finished first in 12 of Senegal's 14 regions,"" former Prime Minister Aminata Toure told her fellow Sall supporters outside the party's headquarters in the capital of Dakar. ""The gap between him and the other candidates is big.""

The incumbent received 58.3 per cent of the vote, according to Judge Demba Kandji, president of the commission tasked with releasing the election results. Provisional results showed that top opposition candidate Idrissa Seck took 20.5 per cent of the vote, while Ousmane Sonko had 15.7 per cent.

The 57-year-old Sall campaigned on his record of building roads and creating jobs, calling himself ""the builder of modern Senegal."" The president maintains he created some 491,000 jobs during his first term.

Opposition supporters maintained that Sall's economic accomplishments still had not reached many citizens of a country where young men often risk their lives migrating to Europe in search of better prospects.

""Macky Sall is obsessed with infrastructure and he's not concerned with employment, with employing my generation,"" said Abdou Camara, 24, a Seck supporter who is applying to graduate school in Canada after trying to find a job for six months. ""I don't hate Macky Sall, but I can't love him.""

Senegal has long been a democratic example in West Africa, where leaders clinging to power and new governments taking power through coups once were all too common

However, the presidential race this year brought allegations that the presidency effectively blocked two prominent opposition politicians from taking part, Dakar's former mayor and the son of the president Sall defeated in 2012.

During the campaign that resulted in his first term, Sall promoted a message of change to beat longtime President Abdoulaye Wade. A constitutional referendum since then has shortened the presidential term from seven years to five.

After the change, Sall weathered some criticism by deciding to complete a seven-year term.

___

Associated Press writer Amelia Nierenberg contributed to this report.","Senegal: President gets election win, rivals won't challenge",Vancouver Courier,https://www.vancourier.com/senegal-president-gets-election-win-rivals-won-t-challenge-1.23648558
3,Politics,2019-03-01T16:49:00.0000000Z,I am against the federal government’s Critical Election Incident Public Protocol ... driven their oilfield service trucks from western Canada to Ottawa that week. But given that some of them ...,"I am against the federal government’s Critical Election Incident Public Protocol (CEIPP) in principle. But given the up-to-his-eyeballs involvement of Clerk of the Privy Council Michael Wernick in the prime minister’s efforts to pressure former Attorney General Jody Wilson-Raybould into ending the criminal prosecution of SNC-Lavalin, I now have very practical objections to the CEIPP, too.

In early February, Democratic Institutions Minister Karina Gould announced that five senior civil servants will monitor the Internet for any sign of foreign meddling during this fall’s federal election.

Gould insisted this was not about “refereeing the election.” Rather, the CEIPP was about “alerting Canadians of an incident that jeopardizes their rights to a free and fair election.”

Okay, some giant hack of voting results that changed the outcome in several ridings might qualify, but Gould instead said the Liberals’ main concern was stopping “fake news” and “orchestrated disinformation campaigns.”

That’s a whole different kettle of fish. That sounds like an attempt to monitor the issues voters can and cannot see during an election.

That’s not a conspiratorial fear on my part. Canadian law already makes it very difficult for any group other than registered political parties to advertise their views during a campaign. Since the internet offers these “third parties” a powerful new way to get around the politicians’ advertising monopoly, is it that hard to believe the government would try to regulate Internet and social media in the name of “fairness” and use “fake news” as their excuse?

The key to the CEIPP’s objectivity, then, is who sits on it. And that is where my practical concern comes in.

I was already worried about the objectivity of Clerk of the Privy Council Michael Wernick before Wilson-Raybould’s testimony this week at the Commons Justice committee.

In his own testimony last week, Wernick exclaimed that he was “deeply concerned about my country now, its politics, and where it’s headed.”

His main concern was “the rising tides of incitements to violence when people use terms like ‘treason’ and ‘traitor’,” directed at public figures such as the prime minister. Wernick added, “Those are the words that lead to assassination.”

No one on the committee had asked him about this. It seemed evident he was simply trying to distract the committee from it real purpose, namely SNC-Lavalin.

Wernick did not say specifically that he was worried about the “yellow vests” who had driven their oilfield service trucks from western Canada to Ottawa that week. But given that some of them had displayed placards with the words “traitor” and “treason” on them, it was not hard to figure out who Wernick meant.

And if he cannot distinguish between frustrated people letting off steam by using exaggeration and real conspirators plotting to commit crimes, then Wernick has no business being named as one of the five impartial monitors of our upcoming federal campaign.

He also has no business being put in charge of election fairness if, in his judgement, a bunch of oil patch workers are a greater threat to Canadian democracy than an orchestrated effort by the Prime Minister’s Office to undermine our federal justice system on behalf of a Liberal-friendly corporation and on behalf of Liberal party re-election hopes.

Worse yet, since Wernick’s own credibility-shattering testimony, Canadians have heard from Wilson-Raybould herself. If her testimony is accurate, Wernick is also guilty of serving as a surrogate for the PM in pressuring Wilson-Raybould to get a deal done for SNC or face personal political consequences (such as being demoted in cabinet, which she was).

Wernick is supposed to be entirely non-partisan. Entirely. Given his entanglement in the SNC affair, he probably shouldn’t keep his main job, but he definitely can’t keep his post as an impartial monitor of this fall’s campaign.",GUNTER: Michael Wernick's the last person who should be monitoring election fairness,Toronto Sun,https://torontosun.com/opinion/columnists/gunter-michael-wernicks-the-last-person-who-should-be-monitoring-election-fairness
4,,2019-03-01T17:24:00.0000000Z,"Radio-Canada, however, reported Friday that the ... who resigned after the 2018 election defeat. The executive, including Atallah, had wanted the meeting to be a general discussion on the future ...","QUEBEC — Antoine Atallah, president of the Quebec Liberal Party, has resigned from his post citing the need for unity.

After a week of media reports of internal dissent over his leadership, Atallah called it quits Friday, publishing a long letter of resignation on his personal Facebook page.

Off the top he says the October election, which saw the Liberals lose power to the Coalition Avenir Québec, did not end the way he wanted it to and he assumes his share of the blame.

He does not address the controversy over his leadership directly except to say that, in his mind, the party needs unity and he considers his job reforming the structures of the 150-year-old party complete.

But he says some of the reforms put in place have rendered the party “extremely bureaucratic,” making it difficult for a volunteer officer like himself to put in place a real vision.

Radio-Canada, however, reported Friday that the Liberal caucus of elected MNAs itself asked for Atallah’s resignation.

His resignation follows a tumultuous meeting last weekend in Bécancour of the party’s 125 riding presidents where a rift emerged over how fast to proceed with a leadership race to replace Philippe Couillard, who resigned after the 2018 election defeat.

The executive, including Atallah, had wanted the meeting to be a general discussion on the future of the Liberal Party but a group of riding presidents spoke in favour of a speedier leadership process.

Some said it is hard for the party to go about the business of developing a new program without knowing the vision of the new leader.

The party, for example, just opted to stick with its traditional position on no restrictions on religious symbols despite the fact some believe taking a harder line might be a way to woo more nationalist votes back to the party.

Faced with the revolt, party interim leader Pierre Arcand announced the leadership race rules would be revealed at a meeting of the party general council May 4-5 in Drummondville.

On Friday, Arcand issued a statement thanking Atallah, who got involved in the party at age 17 and is now 32, for his years of service to the party.

He added the party’s current vice-president, Katherine Martin, will act as party president in the interim until the Liberal executive decides who will replace Atallah.

Atallah is the second big party name to step down in the wake of the election defeat. Businessman Alexandre Taillefer, who acted as party election campaign chairman, quit politics altogether after the vote.

The field of potential Liberal leadership candidates recently narrowed.

pauthier@postmedia.com

Twitter.com/philipauthier",President of Quebec Liberal Party quits in wake of election loss,Montreal Gazette,https://montrealgazette.com/news/quebec/president-of-quebec-liberal-party-quits-in-wake-of-election-loss
5,Canada,2019-02-28T21:30:00.0000000Z,"B.C. MP Murray Rankin, the party’s justice critic and one of its senior caucus members, announced Thursday that he won’t seek re-election this year ... tasked with overseeing Canada’s security and intelligence agencies. Rankin joins a growing ...","OTTAWA — The federal NDP is losing another member of its team just days after Leader Jagmeet Singh finally won a seat in the House of Commons in a make-or-break byelection.

B.C. MP Murray Rankin, the party’s justice critic and one of its senior caucus members, announced Thursday that he won’t seek re-election this year. His decision brings to 12 the number of NDP MPs elected in 2015 who aren’t running again — more than a quarter of the caucus.

“After about seven years, I think it’s time for a fresh voice,” he told the National Post in an interview. “It’s been the most exciting and rewarding thing I’ve ever done, working as an MP … But in terms of my life, I think it’s time to let someone else take the reins and I think this is a good time to do it.”

Rankin said he “absolutely” supports Singh’s leadership, and said he hopes the party is on an “upward incline” since Singh won the Burnaby South byelection on Monday with 39 per cent of the vote.

“We had, I think, a very significant turnaround in the NDP fortunes when the leader won so convincingly in Burnaby South,” he said. “I think a lot of Canadians are now going to say we have a leader … who connects well with voters. We just have to get him into the House and get him better known by Canadians.”

After about seven years, I think it’s time for a fresh voice

Rankin, a lawyer who previously worked as a treaty negotiator for the province of B.C., was elected as the MP for Victoria in a 2012 byelection. He is the party’s justice critic and co-chair of the House of Commons justice committee, which is currently investigating allegations that the Prime Minister’s Office pressured former attorney general Jody Wilson-Raybould to negotiate a deal with engineering firm SNC-Lavalin.

Rankin suggested the SNC-Lavalin controversy presents an opportunity for the NDP. “We have a situation unfolding in Ottawa that is going to give a lot of Canadians pause about the nature of the Liberal government, the government they thought was going to be a very different government,” he said.

In 2017, Rankin was also named to the national security committee of parliamentarians, tasked with overseeing Canada’s security and intelligence agencies.

Rankin joins a growing list of NDP MPs who have decided not to seek another term. Of the 44 MPs elected in 2015, 12 have now announced they won’t run again, including Quebec MPs Hélène Laverdière and Romeo Saganash, and Alberta’s lone NDP MP, Linda Duncan. A few more caucus members have yet to make their decisions public, including senior B.C. MP Nathan Cullen.

Singh has faced major hurdles since he won the party leadership in October 2017, including poor fundraising numbers and disappointing byelection results. Initially claiming he was comfortable without a seat in the House of Commons, he eventually changed his mind and decided to run in Burnaby. But his victory there was tempered by the loss of the Montreal riding of Outremont in a separate byelection on the same day, a seat held by former leader Thomas Mulcair since 2007.

Rankin said it can be a “hard slog” for opposition MPs trying to make an impact in Ottawa. “The lot of an opposition politician isn’t always a happy one,” he said. “We do make differences … but sometimes being in an opposition role is not always gratifying.”

Rankin was recently appointed by the B.C. government as its representative to help guide talks in a new reconciliation process with the hereditary chiefs of the Wet’suwet’en nation, whose opposition to a proposed natural gas pipeline through their traditional territory led to a showdown with the RCMP in January. He has accepted the position without pay.

“I simply want to do other things after this amount of time,” he said. “I think a lot of people would realize that going back and forth to Ottawa regularly, nine hours door-to-door, isn’t the most joyful experience, and maybe I can do other things at this stage of my career.”

• Email: mforrest@postmedia.com | Twitter: MauraForrest",Veteran MP Murray Rankin joins ranks of New Democrats not seeking re-election,O Canada,https://o.canada.com/news/politics/veteran-mp-murray-rankin-joins-ranks-of-new-democrats-not-seeking-re-election/wcm/73338010-478c-425e-9811-af0fd14079b8
6,World,2019-02-28T14:31:00.0000000Z,"The 57-year-old Sall sought re-election on his record of building roads and creating ... a Seck supporter who is now applying to graduate school in Canada after trying to find a job for six months. ""I don't hate Macky Sall, but I can't love him.""","DAKAR, Senegal — Senegalese President Macky Sall easily won re-election to a second term during a first round of voting, election officials announced Thursday. His opponents issued a joint statement saying they would not challenge the results.

The statement from the four opposition candidates ended days of political uncertainty in Senegal, a democracy long known for peaceful transfers of power.

article continues below

After the prime minister told ruling party supporters that unofficial results showed Sall winning 57 per cent of Sunday's vote, top opponents dismissed the claim and told supporters to prepare for a runoff election.

Election observers reported finding no major irregularities during the presidential vote. In their joint statement, the opposition candidates said they still rejected the election's outcome, but added, ""We will not be taking any recourse at the constitutional council.""

The tally was announced on live TV and radio, a rarity in a part of the world where postelection violence is common in many countries. There were scattered reports of protests, including by university students in Dakar.

Police said some protesters hit a gas station in Thies, and officers intervened. But no as before police put down the unrest. But there were no large demonstrations after Sall was declared the election's winner.

""President Macky finished first in 12 of Senegal's 14 regions,"" former Prime Minister Aminata Toure told her fellow Sall supporters outside the party's headquarters in the capital of Dakar. ""The gap between him and the other candidates is big.""

The incumbent received 58.3 per cent of the vote, according to Judge Demba Kandji, president of the commission tasked with releasing the election results. Provisional results showed that top opposition candidate Idrissa Seck took 20.5 per cent of the vote, while Ousmane Sonko had 15.7 per cent.

The 57-year-old Sall campaigned on his record of building roads and creating jobs, calling himself ""the builder of modern Senegal."" The president maintains he created some 491,000 jobs during his first term.

Opposition supporters maintained that Sall's economic accomplishments still had not reached many citizens of a country where young men often risk their lives migrating to Europe in search of better prospects.

""Macky Sall is obsessed with infrastructure and he's not concerned with employment, with employing my generation,"" said Abdou Camara, 24, a Seck supporter who is applying to graduate school in Canada after trying to find a job for six months. ""I don't hate Macky Sall, but I can't love him.""

Senegal has long been a democratic example in West Africa, where leaders clinging to power and new governments taking power through coups once were all too common

However, the presidential race this year brought allegations that the presidency effectively blocked two prominent opposition politicians from taking part, Dakar's former mayor and the son of the president Sall defeated in 2012.

During the campaign that resulted in his first term, Sall promoted a message of change to beat longtime President Abdoulaye Wade. A constitutional referendum since then has shortened the presidential term from seven years to five.

After the change, Sall weathered some criticism by deciding to complete a seven-year term.

___

Associated Press writer Amelia Nierenberg contributed to this report.",Election officials: Senegal's president wins 2nd term,Vancouver Courier,https://www.vancourier.com/election-officials-senegal-s-president-wins-2nd-term-1.23648558
7,,2019-03-01T17:40:00.0000000Z,"Recorded right before three by-elections in Quebec, Ontario and British Columbia, as well as ex-justice minister Jody Wilson-Raybould’s damning testimony against the Canadian government, this podcast episode looks at issues that will impact the upcoming ...","Andrew Potter is an assistant professor at the McGill Institute for the Study of Canada. He is the former editor of the Ottawa Citizen and was a public affairs columnist for Maclean’s.

Anna Esselment is an associate professor in the department of political science at the University of Waterloo. Her areas of research and writing include political parties, campaigns and elections, political marketing, and Canadian institutions. Previously, Anna worked at Queen’s Park as a policy advisor to then-opposition leader Dalton McGuinty.

Stephanie MacLellan is a senior research associate at the Centre for International Governance Innovation, specializing in internet governance and cyber security, and a former editor and reporter for the Toronto Star, the Hamilton Spectator and The Slovak Spectator.

Canada and the World is produced and edited by Matthew Markudis. Each episode can be found on iTunes and other podcast applications.","Canada and the World, Ep. 30: Electoral integrity in Canada’s 2019 federal election",opencanada.org,https://www.opencanada.org/features/canada-and-the-world-ep-30-electoral-integrity-in-canadas-2019-federal-election/
8,Business,2019-03-01T18:10:00.0000000Z,"OTTAWA: Canada’s economy slowed in the last three months of 2018 to only 0.4 percent, according to government data released Friday, raising concern it is on the brink of a recession in an election year. The gross domestic product (GDP) figure was lower ...","OTTAWA: Canada’s economy slowed in the last three months of 2018 to only 0.4 percent, according to government data released Friday, raising concern it is on the brink of a recession in an election year.

The gross domestic product (GDP) figure was lower than the 1.0 percent expected by analysts, following 2.0 percent growth in the previous quarter.

This slowing pace closed out the year with a total annualized economic growth rate of 1.8 percent, slightly more than half the previous year’s 3.0 percent and the United States’s 2.9 percent growth in 2018.

“The ‘R’ word (for recession) will be on minds as Canada’s economy barely skirted the start of a recession in Q4,” CIBC Capital Markets chief economist Avery Shenfeld said in a research note.

He pointed to a “weak handoff” from December to the new year, that he said will likely prompt the Bank of Canada to back off plans to raise interest rates in the short term.

“If not for a huge employment gain in January (+67,000 jobs) we’d be worried about an outright recession, but at this point, its best described as a stalled engine,” Shenfeld concluded.

Either scenario is bad news for Prime Minister Justin Trudeau’s Liberals as they head into elections in October looking to hold onto their parliamentary majority.

The Trudeau Liberals’ popularity slipped amid allegations by his former attorney general of political interference in the criminal prosecution of engineering giant SNC-Lavalin.

The Montreal-based company was charged in 2015 with corruption for allegedly bribing officials in Libya between 2001 and 2011 to secure government contracts during former strongman Moamer Kadhafi’s reign.

For the first time, the ruling Liberal Party has found itself trailing the opposition Conservatives led by Andrew Scheer in the most recent public opinion polls.

Statistics Canada said the nation’s slowing economic growth mainly reflected a drop in investment spending and lower exports.

Household spending slowed for a second consecutive quarter, with spending on life insurance and financial services up and on motor vehicles down.

Purchases of cannabis — after recreational use was legalized in October — totalled Can$5.9 billion (US$4.5 billion) or 0.5 percent of household spending.

Business investment on non-residential structures, and machinery and equipment fell sharply, but that plunge was moderated by an uptick in investment in intellectual property products.

The latter was “mainly attributable to mineral exploration and evaluation, which can be influenced by anticipated prices and potential new reserves,” said Statistics Canada.

Exports volumes edged down, led by lower exports of forestry products, building and packaging materials, metal and non-metallic minerals, and energy products.

Imports also fell on lower shipments of industrial chemicals, plastic and rubber products, motor vehicles and parts, and metal and non-metallic mineral products.

Imports of energy products were flat while aircraft, engines and parts rebounded a whopping 17.1 percent. —AFP",Canada economy slowed at end of 2018 raising recession fears,aaj.tv,http://www.aaj.tv/2019/03/canada-economy-slowed-at-end-of-2018-raising-recession-fears/
9,Canada,2019-02-28T12:36:00.0000000Z,"and a slowly-shuttering political window in Ottawa with a fall federal election on the horizon, that is far from certain. Moreover, Canada and Mexico insist the Trump administration will have to ...","Canada and Mexico are dealing with lingering hard feelings over last summer’s surprise Mexican trade deal with the United States as their new continental trade pact awaits a final stamp of political approval.

Two weeks ago, the head of a visiting delegation of Canadian parliamentarians told the newly installed Mexican foreign minister his country threw Canada “under the bus” last August when it forged a bilateral trade deal with the United States during the renegotiation of the North American Free Trade Agreement.

READ MORE: Trump boasts that threat of tariffs forced Canada to agree to new NAFTA deal

A top Mexican trade official tells The Canadian Press that while there may have been a misunderstanding, the U.S. side deal was the work of the previous Mexican government, and Canada and Mexico’s new leaders are moving forward constructively.

The side deal between the U.S. and Mexico appeared to blindside the Trudeau government, forcing Foreign Affairs Minister Chrystia Freeland to abort a three-country trip to Europe.

Canada and U.S. negotiators reached an 11th-hour agreement that was signed two months later on Nov. 30 by the country’s three leaders – Prime Minister Justin Trudeau, U.S. President Donald Trump and former Mexican president Enrique Pena Nieto, who was on his last official day in office.

WATCH: Scheer blasts Trudeau on signing of USMCA, says photo-op with Trump was the ‘final humiliation’

The deal must now be ratified by the legislatures of all three countries, but with turmoil in Washington, and a slowly-shuttering political window in Ottawa with a fall federal election on the horizon, that is far from certain.

Moreover, Canada and Mexico insist the Trump administration will have to lift its punishing tariffs on their steel and aluminum exports, which the mercurial president imposed under a controversial national security clause in U.S. trade law both countries say was illegal.

Canadian and Mexican politicians have been holding a series of regular meetings and exchanges, including a two-day session of parliamentarians in Ottawa this week, and a gathering of the ParlAmericas group, a network of legislators from 35 Western Hemisphere countries, earlier this month.

READ MORE: Read the full text of the new United States, Mexico and Canada Agreement

The head of Canadian ParlAmericas chapter, Liberal MP Bob Nault, expressed Canada’s dissatisfaction about last August’s Mexican side deal with the country’s new foreign minister, Marcelo Ebrard, during the organization’s Mexico City meeting earlier this month.

“We did say very clearly in our last meeting in Mexico with the foreign affairs minister that we were frustrated with the feeling that Mexico was sort of moving away from the trilateral agreement,” Nault said in an interview.

Nault said he was concerned about “the way it unfolded at the end,” and a perception “that Canada got thrown under the bus by Mexico.” He said that represented a break from “what we originally felt was the approach, that is, Mexico and Canada had to be very close to each other to make sure we got a good deal for our countries and make sure the U.S. didn’t overtake us.”

The Canadian Press has previously reported, citing anonymous sources, that Freeland gave Mexican negotiators an upbraiding over their bilateral deal during an August meeting in Washington.

“I think it’s getting better,” Nault said this week of the relationship. “Overall, we both have the same position: we want the tariffs removed. We want them removed now. We want to move forward with ratification.”

WATCH: U.S., Mexico reach preliminary trade deal without Canada

Luz Maria de la Mora, Mexico’s deputy trade minister, acknowledged the past Canadian complaints, but she said the two countries are moving forward constructively.

“That was part of the negotiation process … right now, it’s over,” de la Mora said in an interview.

“The previous administration in Mexico was responsible for doing that. But at the end of the day, it might have been the case that it actually helped the process.”

The Mexico-U.S. side deal marked the start of nearly two months of intense talks between Canadian and American negotiators because the Trump administration imposed a Sept. 30 deadline for Canada to sign on to the U.S.-Mexico pact or potentially be cast adrift.

De la Mora succeeded Juan Carlos Baker, one of Mexico’s top negotiators, when the new Mexican government of Andres Manuel Lopez Obrador was sworn in on Dec. 1.

READ MORE: Trump announces new U.S.-Mexico trade deal, wants to eliminate NAFTA

Lopez Obrador won the Mexican presidency in July, branding himself a socialist reformer dedicated to ending decades of corruption and improving the plight of Mexican workers. His term didn’t begin until Dec. 1, which left a window for the Pena Nieto government to finish negotiating a trade deal that Lopez Obrador would have to sell to his country’s lawmakers.

During the transition, members of Lopez Obrador’s team joined the Mexican negotiators, but de la Mora said they acted as observers, not participants. She said that extended to the Mexican decision to move forward with a bilateral deal with Canada.

“We were not involved in that decision at all,” de la Mora said.

“If at some point during the negotiations there were misunderstandings or miscommunications, those moments are over.”

She cited the fact that half a dozen of her cabinet colleagues visited Ottawa in November before they were sworn in, in order to forge a good working relationship.

“It would be very positive that the three countries have this agreement approved this year, really. It would be something that would send a really good signal to the markets.”",Mexico threw Canada ‘under the bus’ during new NAFTA talks: Liberal MP,Global News,https://globalnews.ca/news/5007667/mexico-canada-new-nafta-deal/
